"gid","x","y","text"
1,-158.216571471636,20.9878189150033,"POINT(-158.216571471636 20.9878189150033)"
2,-158.127692598246,21.0512906187819,"POINT(-158.127692598246 21.0512906187819)"
3,-155.183707691901,19.4830403440646,"POINT(-155.183707691901 19.4830403440646)"
4,-158.026207464168,20.9865535331584,"POINT(-158.026207464168 20.9865535331584)"
5,-156.62336257432,20.6144432496889,"POINT(-156.62336257432 20.6144432496889)"
6,-157.940761935525,21.0796988349074,"POINT(-157.940761935525 21.0796988349074)"
7,-158.002202641649,21.088884124655,"POINT(-158.002202641649 21.088884124655)"
8,-157.952056206505,21.1258626190547,"POINT(-157.952056206505 21.1258626190547)"
9,-156.608931708366,20.4914903406035,"POINT(-156.608931708366 20.4914903406035)"
10,-158.298818591211,21.0183190970898,"POINT(-158.298818591211 21.0183190970898)"
11,-158.225600569644,21.1210079713943,"POINT(-158.225600569644 21.1210079713943)"
12,-158.363997960548,21.056272767361,"POINT(-158.363997960548 21.056272767361)"
13,-158.174075823562,21.0801707730963,"POINT(-158.174075823562 21.0801707730963)"
14,-158.276211840635,21.16568885217,"POINT(-158.276211840635 21.16568885217)"
15,-158.235074529296,21.1725740835336,"POINT(-158.235074529296 21.1725740835336)"
16,-158.393179198631,21.1097324180287,"POINT(-158.393179198631 21.1097324180287)"
17,-156.659090583998,20.6233046321888,"POINT(-156.659090583998 20.6233046321888)"
18,-158.154805460647,21.0717812804171,"POINT(-158.154805460647 21.0717812804171)"
19,-158.218356559437,21.0621278042551,"POINT(-158.218356559437 21.0621278042551)"
20,-158.206295488013,21.0884998044019,"POINT(-158.206295488013 21.0884998044019)"
21,-86.8238289973557,33.2311619999056,"POINT(-86.8238289973557 33.2311619999056)"
22,-86.2112609949006,34.2653619998298,"POINT(-86.2112609949006 34.2653619998298)"
23,-85.9360079929846,32.9331569997053,"POINT(-85.9360079929846 32.9331569997053)"
24,-85.8266639922755,33.6630029997035,"POINT(-85.8266639922755 33.6630029997035)"
25,-86.9694239978626,34.789601999941,"POINT(-86.9694239978626 34.789601999941)"
26,-85.4808229888964,32.5976839994834,"POINT(-85.4808229888964 32.5976839994834)"
27,-86.9565689977454,33.3913429999229,"POINT(-86.9565689977454 33.3913429999229)"
28,-86.8127399973374,33.5247549999087,"POINT(-86.8127399973374 33.5247549999087)"
29,-86.6804369969073,33.6393019998937,"POINT(-86.6804369969073 33.6393019998937)"
30,-86.8449959974773,34.1775079999219,"POINT(-86.8449959974773 34.1775079999219)"
31,-87.886439999308,30.6312889999705,"POINT(-87.886439999308 30.6312889999705)"
32,-86.9833919978834,34.5809919999397,"POINT(-86.9833919978834 34.5809919999397)"
33,-85.4072579879594,31.2272249993232,"POINT(-85.4072579879594 31.2272249993232)"
34,-85.8444839921847,31.3274759995887,"POINT(-85.8444839921847 31.3274759995887)"
35,-85.1537739847329,31.8893699991891,"POINT(-85.1537739847329 31.8893699991891)"
36,-86.9168419976409,33.4769079999198,"POINT(-86.9168419976409 33.4769079999198)"
37,-87.8956869993176,30.5263939999706,"POINT(-87.8956869993176 30.5263939999706)"
38,-87.6628599991096,34.8202869999782,"POINT(-87.6628599991096 34.8202869999782)"
39,-86.9029369976069,33.5743049999196,"POINT(-86.9029369976069 33.5743049999196)"
40,-85.7066479914806,34.4538289997057,"POINT(-85.7066479914806 34.4538289997057)"
41,-86.0103559936568,34.010146999774,"POINT(-86.0103559936568 34.010146999774)"
42,-86.8116479973422,33.6604919999107,"POINT(-86.8116479973422 33.6604919999107)"
43,-86.9403849977625,34.4403829999344,"POINT(-86.9403849977625 34.4403829999344)"
44,-86.8560599974558,33.2797149999103,"POINT(-86.8560599974558 33.2797149999103)"
45,-86.8081459973199,33.4683059999073,"POINT(-86.8081459973199 33.4683059999073)"
46,-86.8049379973052,33.3864349999057,"POINT(-86.8049379973052 33.3864349999057)"
47,-86.9975789978552,33.4377089999276,"POINT(-86.9975789978552 33.4377089999276)"
48,-86.5962959967004,34.7123409999027,"POINT(-86.5962959967004 34.7123409999027)"
49,-87.2771739984909,33.842346999954,"POINT(-87.2771739984909 33.842346999954)"
50,-86.5573879964385,33.5455919998737,"POINT(-86.5573879964385 33.5455919998737)"
51,-86.7396439971967,34.715064999919,"POINT(-86.7396439971967 34.715064999919)"
52,-86.368544995532,32.4976259998118,"POINT(-86.368544995532 32.4976259998118)"
53,-88.1032799994921,30.6795229999793,"POINT(-88.1032799994921 30.6795229999793)"
54,-86.2791179950696,32.3615379997859,"POINT(-86.2791179950696 32.3615379997859)"
55,-86.7404649971028,33.4869719998991,"POINT(-86.7404649971028 33.4869719998991)"
56,-87.6502779990924,34.7507879999774,"POINT(-87.6502779990924 34.7507879999774)"
57,-87.5923519989814,33.2539169999679,"POINT(-87.5923519989814 33.2539169999679)"
58,-85.3894039878829,32.647182999434,"POINT(-85.3894039878829 32.647182999434)"
59,-85.8388809923584,33.5971049997042,"POINT(-85.8388809923584 33.5971049997042)"
60,-85.6420089904267,31.4481689994914,"POINT(-85.6420089904267 31.4481689994914)"
61,-86.7846199972364,33.3045809999018,"POINT(-86.7846199972364 33.3045809999018)"
62,-85.0201209828307,32.4728219991435,"POINT(-85.0201209828307 32.4728219991435)"
63,-86.4513049959178,32.4591349998291,"POINT(-86.4513049959178 32.4591349998291)"
64,-88.1003839994897,30.7480379999793,"POINT(-88.1003839994897 30.7480379999793)"
65,-85.8443259924209,33.7082019997116,"POINT(-85.8443259924209 33.7082019997116)"
66,-88.091931999483,30.8251859999792,"POINT(-88.091931999483 30.8251859999792)"
67,-86.0425699939848,34.6513679998069,"POINT(-86.0425699939848 34.6513679998069)"
68,-87.0247329978901,32.4164159999183,"POINT(-87.0247329978901 32.4164159999183)"
69,-85.098702984044,32.539258999218,"POINT(-85.098702984044 32.539258999218)"
70,-86.251067994981,33.1783599998044,"POINT(-86.251067994981 33.1783599998044)"
71,-86.101298994148,33.4347279997758,"POINT(-86.101298994148 33.4347279997758)"
72,-88.1978759995585,30.583292999982,"POINT(-88.1978759995585 30.583292999982)"
73,-85.9673169931191,31.8019599996648,"POINT(-85.9673169931191 31.8019599996648)"
74,-86.596403996597,33.6216229998813,"POINT(-86.596403996597 33.6216229998813)"
75,-87.5346069989,33.2065399999647,"POINT(-87.5346069989 33.2065399999647)"
76,-85.7067809910879,32.4315059995873,"POINT(-85.7067809910879 32.4315059995873)"
77,-86.7788939972253,33.4330569999031,"POINT(-86.7788939972253 33.4330569999031)"
78,-93.066178,34.1219199999999,"POINT(-93.066178 34.1219199999999)"
79,-94.270974,36.4638500000001,"POINT(-94.270974 36.4638500000001)"
80,-92.577025,34.570773,"POINT(-92.577025 34.570773)"
81,-94.213355,36.3667090000001,"POINT(-94.213355 36.3667090000001)"
82,-89.9139399999824,35.9307349999999,"POINT(-89.9139399999824 35.9307349999999)"
83,-92.022329,34.972647,"POINT(-92.022329 34.972647)"
